id,card_number,expiration_date,balance,card_status,owner_id
1,4125505632047421,2029-08-19,59838.77,ACTIVE,2
2,4125502897242885,2028-02-23,121738.26,ACTIVE,3
3,4125509927521912,2034-06-16,28158.33,ACTIVE,4
4,4125501161657624,2031-11-13,131436.67,ACTIVE,5
5,4125505981331162,2035-11-19,93568.68,ACTIVE,6
6,4125503296049446,2032-12-12,24546.67,ACTIVE,7
7,4125502384570040,2027-09-05,71485.93,ACTIVE,8
8,4125508182073539,2030-05-09,110980.44,ACTIVE,9
9,4125505216568786,2028-08-12,126432.07,ACTIVE,10
10,4125506648981298,2028-10-05,75356.90,ACTIVE,11
11,4125505618699910,2035-08-10,40700.83,ACTIVE,12
12,4125507112797340,2031-10-13,138366.30,ACTIVE,13
13,4125509342824322,2033-03-16,148492.99,ACTIVE,14
14,4125505230495467,2032-10-18,46438.01,ACTIVE,15
15,4125506858820820,2035-06-11,2141.00,ACTIVE,16
16,4125505370102303,2032-07-15,89805.08,ACTIVE,17
17,4125505808750597,2035-02-04,30183.18,ACTIVE,18
18,4125506785584921,2028-05-30,146872.46,ACTIVE,19
19,4125504179039463,2034-06-05,40918.92,ACTIVE,20
20,4125508016788901,2033-04-16,51442.03,ACTIVE,21
21,4125505177147199,2035-01-22,62502.96,ACTIVE,22
22,4125507928616914,2031-11-02,105392.42,ACTIVE,23
23,4125507021712588,2030-05-06,3150.31,ACTIVE,24
24,4125500814368515,2029-02-06,94788.63,ACTIVE,25
25,4125509664742668,2032-07-23,121547.90,ACTIVE,26
26,4125506074995267,2032-01-03,45122.02,ACTIVE,27
27,4125509503743878,2031-01-08,30292.61,ACTIVE,28
28,4125504732343576,2034-05-26,25229.55,ACTIVE,29
29,4125503117993638,2029-02-27,53955.79,ACTIVE,30
30,4125502400752570,2030-01-10,103759.27,ACTIVE,31
31,4125507624444738,2035-03-03,57322.89,ACTIVE,32
32,4125506356504588,2033-04-18,80172.83,ACTIVE,33
33,4125508121532995,2032-09-25,121409.15,ACTIVE,34
34,4125508933115501,2033-08-07,44555.15,ACTIVE,35
35,4125509211321143,2032-10-06,40133.29,ACTIVE,36
36,4125508994378387,2029-12-16,113512.70,ACTIVE,37
37,4125501772037600,2030-05-30,30773.10,ACTIVE,38
38,4125503298629126,2029-01-08,141058.93,ACTIVE,39
39,4125507591976664,2034-02-05,130826.56,ACTIVE,40
40,4125506983711127,2030-01-26,68506.66,ACTIVE,41
41,4125507739513454,2028-10-30,64998.63,ACTIVE,42
42,4125500703113153,2034-01-17,104901.06,ACTIVE,43
43,4125508589680774,2027-08-16,12853.16,ACTIVE,44
44,4125501633363296,2034-02-04,148403.86,ACTIVE,45
45,4125506942881237,2034-04-30,123020.61,ACTIVE,46
46,4125508411131536,2033-06-20,105560.28,ACTIVE,47
47,4125507079764310,2035-06-15,104709.73,ACTIVE,48
48,4125501709350419,2028-07-07,119782.89,ACTIVE,49
49,4125508233928498,2033-02-24,62192.58,ACTIVE,50
50,4125504781995115,2029-05-31,6223.32,ACTIVE,51
51,4125509071743830,2032-04-29,113922.89,ACTIVE,52
52,4125508018849728,2035-08-01,50174.65,ACTIVE,53
53,4125501400132151,2035-01-21,68110.24,ACTIVE,54
54,4125504835231679,2032-09-30,119155.95,ACTIVE,55
55,4125502217140555,2029-01-11,82965.24,ACTIVE,56
56,4125504361250172,2032-09-26,52507.31,ACTIVE,57
57,4125504097565583,2029-09-02,131538.65,ACTIVE,58
58,4125503679795425,2029-11-09,89661.99,ACTIVE,59
59,4125503418305149,2035-11-05,117599.42,ACTIVE,60
60,4125507768738508,2029-05-03,15231.94,ACTIVE,61
61,4125505713847461,2033-01-02,65749.16,ACTIVE,62
62,4125505148203978,2027-02-24,123030.79,ACTIVE,63
63,4125505954441990,2035-07-12,70924.07,ACTIVE,64
